"word","count","year"
"access",1,2003
"agricultural",1,2003
"air",1,2003
"aircraft",1,2003
"all",1,2003
"analysing",1,2003
"arms",1,2003
"art",1,2003
"article",1,2003
"automatic",1,2003
"board",1,2003
"boys",1,2003
"but",1,2003
"cases",1,2003
"cereals",1,2003
"civil",1,2003
"classified",1,2003
"co",1,2003
"cocoa",1,2003
"coke",1,2003
"cold",1,2003
"combustion",1,2003
"confectionery",1,2003
"containing",1,2003
"cream",1,2003
"current",1,2003
"cut",1,2003
"cycles",1,2003
"data",1,2003
"diagnostic",1,2003
"diamonds",1,2003
"domestic",1,2003
"electricity",1,2003
"elements",1,2003
"engineering",1,2003
"essential",1,2003
"estimate",1,2003
"estimated",1,2003
"excl",1,2003
"excluding",1,2003
"f",1,2003
"ferrous",1,2003
"fertilizers",1,2003
"flours",1,2003
"footwear",1,2003
"form",1,2003
"fuel",1,2003
"function",1,2003
"furniture",1,2003
"group",1,2003
"hand",1,2003
"handling",1,2003
"hides",1,2003
"import",1,2003
"inc",1,2003
"industrial",1,2003
"industries",1,2003
"internal",1,2003
"jute",1,2003
"kind",1,2003
"lead",1,2003
"live",1,2003
"made",1,2003
"manufactured",1,2003
"manufacturing",1,2003
"measuring",1,2003
"mechanical",1,2003
"medical",1,2003
"medicinal",1,2003
"minerals",1,2003
"motorcycles",1,2003
"motors",1,2003
"ore",1,2003
"particular",1,2003
"pig",1,2003
"primary",1,2003
"process",1,2003
"processing",1,2003
"producer",1,2003
"protecting",1,2003
"purpose",1,2003
"refuse",1,2003
"related",1,2003
"road",1,2003
"sanitary",1,2003
"section",1,2003
"semi",1,2003
"shape",1,2003
"sheets",1,2003
"shipments",1,2003
"similar",1,2003
"simply",1,2003
"size",1,2003
"specialized",1,2003
"specified",1,2003
"spices",1,2003
"starches",1,2003
"stones",1,2003
"storage",1,2003
"substitutes",1,2003
"sugar",1,2003
"sugars",1,2003
"switching",1,2003
"tea",1,2003
"telecommunications",1,2003
"television",1,2003
"than",1,2003
"tin",1,2003
"to",1,2003
"toys",1,2003
"transport",1,2003
"type",1,2003
"up",1,2003
"uranium",1,2003
"use",1,2003
"value",1,2003
"valued",1,2003
"watches",1,2003
"water",1,2003
"whether",1,2003
"work",1,2003
"worked",1,2003
"works",1,2003
"access",1,2004
"agricultural",1,2004
"air",1,2004
"aircraft",1,2004
"all",1,2004
"alloy",1,2004
"analysing",1,2004
"arms",1,2004
"art",1,2004
"article",1,2004
"automatic",1,2004
"bars",1,2004
"board",1,2004
"boats",1,2004
"boys",1,2004
"but",1,2004
"cases",1,2004
"cereals",1,2004
"cheese",1,2004
"chocolate",1,2004
"civil",1,2004
"classified",1,2004
"clocks",1,2004
"co",1,2004
"cocoa",1,2004
"confectionery",1,2004
"containers",1,2004
"containing",1,2004
"contractors",1,2004
"coverings",1,2004
"cream",1,2004
"crocheted",1,2004
"crustaceans",1,2004
"current",1,2004
"cut",1,2004
"cycles",1,2004
"data",1,2004
"domestic",1,2004
"dyeing",1,2004
"eggs",1,2004
"electricity",1,2004
"elements",1,2004
"engineering",1,2004
"essential",1,2004
"estimate",1,2004
"estimated",1,2004
"excluding",1,2004
"explosives",1,2004
"extracts",1,2004
"f",1,2004
"floor",1,2004
"flour",1,2004
"footwear",1,2004
"form",1,2004
"fuel",1,2004
"function",1,2004
"furniture",1,2004
"gases",1,2004
"glass",1,2004
"glassware",1,2004
"group",1,2004
"hair",1,2004
"hand",1,2004
"handling",1,2004
"hides",1,2004
"import",1,2004
"inc",1,2004
"ind",1,2004
"industrial",1,2004
"industries",1,2004
"internal",1,2004
"kind",1,2004
"lead",1,2004
"liquid",1,2004
"live",1,2004
"made",1,2004
"manufactured",1,2004
"manufacturing",1,2004
"mate",1,2004
"measuring",1,2004
"medical",1,2004
"nitrogen",1,2004
"paints",1,2004
"particular",1,2004
"primary",1,2004
"printing",1,2004
"process",1,2004
"processing",1,2004
"producer",1,2004
"protecting",1,2004
"purpose",1,2004
"pyrotechnic",1,2004
"related",1,2004
"road",1,2004
"rods",1,2004
"rough",1,2004
"salted",1,2004
"sand",1,2004
"section",1,2004
"semi",1,2004
"shape",1,2004
"sheets",1,2004
"shipments",1,2004
"ships",1,2004
"similar",1,2004
"simply",1,2004
"size",1,2004
"skins",1,2004
"specialized",1,2004
"specified",1,2004
"spices",1,2004
"sporting",1,2004
"stone",1,2004
"stones",1,2004
"storage",1,2004
"substitutes",1,2004
"sugar",1,2004
"sugars",1,2004
"suitable",1,2004
"sweet",1,2004
"switching",1,2004
"tanning",1,2004
"tea",1,2004
"telecommunications",1,2004
"television",1,2004
"than",1,2004
"to",1,2004
"transport",1,2004
"type",1,2004
"up",1,2004
"use",1,2004
"value",1,2004
"valued",1,2004
"wastes",1,2004
"watches",1,2004
"water",1,2004
"whether",1,2004
"wool",1,2004
"work",1,2004
"worked",1,2004
"works",1,2004
"access",1,2005
"additives",1,2005
"agricultural",1,2005
"air",1,2005
"aircraft",1,2005
"alcoholic",1,2005
"alcohols",1,2005
"all",1,2005
"analysing",1,2005
"arms",1,2005
"art",1,2005
"article",1,2005
"automatic",1,2005
"bars",1,2005
"board",1,2005
"bovine",1,2005
"but",1,2005
"carboxylic",1,2005
"cases",1,2005
"cement",1,2005
"cereals",1,2005
"checking",1,2005
"chilled",1,2005
"chocolate",1,2005
"civil",1,2005
"classified",1,2005
"clay",1,2005
"cleansing",1,2005
"co",1,2005
"cocoa",1,2005
"coke",1,2005
"combustion",1,2005
"confectionery",1,2005
"containers",1,2005
"containing",1,2005
"contractors",1,2005
"cosmetics",1,2005
"cream",1,2005
"current",1,2005
"cut",1,2005
"data",1,2005
"diagnostic",1,2005
"disinfectants",1,2005
"domestic",1,2005
"eggs",1,2005
"electricity",1,2005
"electro",1,2005
"elements",1,2005
"elevators",1,2005
"engineering",1,2005
"essential",1,2005
"estimate",1,2005
"estimated",1,2005
"excl",1,2005
"excluding",1,2005
"explosives",1,2005
"f",1,2005
"fertilizer",1,2005
"fertilizers",1,2005
"footwear",1,2005
"form",1,2005
"fuel",1,2005
"function",1,2005
"furniture",1,2005
"gaseous",1,2005
"gases",1,2005
"glass",1,2005
"gluten",1,2005
"group",1,2005
"hand",1,2005
"handling",1,2005
"honey",1,2005
"hoses",1,2005
"import",1,2005
"inc",1,2005
"ind",1,2005
"industrial",1,2005
"industries",1,2005
"internal",1,2005
"juices",1,2005
"kind",1,2005
"lead",1,2005
"lighting",1,2005
"liquid",1,2005
"live",1,2005
"made",1,2005
"manufactured",1,2005
"manufacturing",1,2005
"margarine",1,2005
"meal",1,2005
"meals",1,2005
"measuring",1,2005
"mechanical",1,2005
"medical",1,2005
"medicinal",1,2005
"meters",1,2005
"minerals",1,2005
"motors",1,2005
"nitrogen",1,2005
"ore",1,2005
"organo",1,2005
"paints",1,2005
"particular",1,2005
"perfume",1,2005
"perfumery",1,2005
"phenols",1,2005
"pieces",1,2005
"pigments",1,2005
"powder",1,2005
"primary",1,2005
"printing",1,2005
"process",1,2005
"processing",1,2005
"producer",1,2005
"protecting",1,2005
"purpose",1,2005
"pyrotechnic",1,2005
"radioactive",1,2005
"refuse",1,2005
"related",1,2005
"road",1,2005
"rough",1,2005
"sanitary",1,2005
"section",1,2005
"shape",1,2005
"shipments",1,2005
"ships",1,2005
"similar",1,2005
"simply",1,2005
"size",1,2005
"soap",1,2005
"specialized",1,2005
"specified",1,2005
"spices",1,2005
"sporting",1,2005
"starches",1,2005
"stone",1,2005
"stones",1,2005
"storage",1,2005
"substitutes",1,2005
"sugar",1,2005
"sugars",1,2005
"suitable",1,2005
"switching",1,2005
"tanning",1,2005
"tea",1,2005
"telecommunications",1,2005
"television",1,2005
"than",1,2005
"tin",1,2005
"tires",1,2005
"to",1,2005
"toys",1,2005
"transport",1,2005
"tv",1,2005
"type",1,2005
"up",1,2005
"use",1,2005
"value",1,2005
"valued",1,2005
"varnishes",1,2005
"veterinary",1,2005
"water",1,2005
"whether",1,2005
"wool",1,2005
"work",1,2005
"worked",1,2005
"works",1,2005
"access",1,2006
"agricultural",1,2006
"air",1,2006
"aircraft",1,2006
"all",1,2006
"analysing",1,2006
"arms",1,2006
"art",1,2006
"article",1,2006
"automatic",1,2006
"board",1,2006
"bovine",1,2006
"briquettes",1,2006
"but",1,2006
"cases",1,2006
"cereals",1,2006
"cheese",1,2006
"chips",1,2006
"cinema",1,2006
"cinematographic",1,2006
"civil",1,2006
"classified",1,2006
"co",1,2006
"containers",1,2006
"containing",1,2006
"contractors",1,2006
"corn",1,2006
"current",1,2006
"cut",1,2006
"cycles",1,2006
"data",1,2006
"diagnostic",1,2006
"distributing",1,2006
"domestic",1,2006
"eggs",1,2006
"electricity",1,2006
"elements",1,2006
"engineering",1,2006
"essential",1,2006
"estimate",1,2006
"estimated",1,2006
"excl",1,2006
"excluding",1,2006
"f",1,2006
"ferrous",1,2006
"fertilizers",1,2006
"flour",1,2006
"footwear",1,2006
"form",1,2006
"fuel",1,2006
"function",1,2006
"group",1,2006
"hand",1,2006
"handling",1,2006
"hides",1,2006
"honey",1,2006
"import",1,2006
"industrial",1,2006
"industries",1,2006
"internal",1,2006
"kind",1,2006
"lead",1,2006
"liquid",1,2006
"live",1,2006
"made",1,2006
"manufactured",1,2006
"manufacturing",1,2006
"meals",1,2006
"measuring",1,2006
"metallic",1,2006
"paints",1,2006
"particular",1,2006
"pieces",1,2006
"pig",1,2006
"powder",1,2006
"primary",1,2006
"printing",1,2006
"process",1,2006
"processing",1,2006
"producer",1,2006
"protecting",1,2006
"purpose",1,2006
"related",1,2006
"road",1,2006
"rough",1,2006
"sanitary",1,2006
"section",1,2006
"semi",1,2006
"shape",1,2006
"shipments",1,2006
"ships",1,2006
"similar",1,2006
"simply",1,2006
"size",1,2006
"specialized",1,2006
"specified",1,2006
"stone",1,2006
"stones",1,2006
"storage",1,2006
"sugar",1,2006
"suitable",1,2006
"taps",1,2006
"telecommunications",1,2006
"television",1,2006
"than",1,2006
"tin",1,2006
"to",1,2006
"transport",1,2006
"tv",1,2006
"type",1,2006
"up",1,2006
"use",1,2006
"value",1,2006
"valued",1,2006
"veterinary",1,2006
"water",1,2006
"whether",1,2006
"wool",1,2006
"work",1,2006
"worked",1,2006
"works",1,2006
"yarn",1,2006
"access",1,2007
"agricultural",1,2007
"air",1,2007
"aircraft",1,2007
"alcoholic",1,2007
"all",1,2007
"allies",1,2007
"ammunition",1,2007
"analysing",1,2007
"angles",1,2007
"antiques",1,2007
"arms",1,2007
"art",1,2007
"article",1,2007
"automatic",1,2007
"board",1,2007
"bovine",1,2007
"but",1,2007
"cases",1,2007
"cement",1,2007
"cereals",1,2007
"chips",1,2007
"cinematographic",1,2007
"civil",1,2007
"classified",1,2007
"clocks",1,2007
"co",1,2007
"cocoa",1,2007
"cold",1,2007
"collectors",1,2007
"confectionery",1,2007
"const",1,2007
"containing",1,2007
"corn",1,2007
"current",1,2007
"cut",1,2007
"cutlery",1,2007
"cycles",1,2007
"data",1,2007
"domestic",1,2007
"electro",1,2007
"elements",1,2007
"essential",1,2007
"estimate",1,2007
"estimated",1,2007
"excl",1,2007
"excluding",1,2007
"extracts",1,2007
"f",1,2007
"ferrous",1,2007
"footwear",1,2007
"form",1,2007
"fuel",1,2007
"function",1,2007
"furniture",1,2007
"glass",1,2007
"glassware",1,2007
"group",1,2007
"hair",1,2007
"hand",1,2007
"handling",1,2007
"headgear",1,2007
"hides",1,2007
"import",1,2007
"ind",1,2007
"industrial",1,2007
"industries",1,2007
"internal",1,2007
"juices",1,2007
"jute",1,2007
"kind",1,2007
"lead",1,2007
"live",1,2007
"made",1,2007
"manufactured",1,2007
"manufacturing",1,2007
"measuring",1,2007
"mechanical",1,2007
"medical",1,2007
"minerals",1,2007
"musical",1,2007
"particular",1,2007
"pearls",1,2007
"pieces",1,2007
"plywood",1,2007
"powder",1,2007
"primary",1,2007
"printed",1,2007
"process",1,2007
"processing",1,2007
"producer",1,2007
"protecting",1,2007
"purpose",1,2007
"refuse",1,2007
"related",1,2007
"resins",1,2007
"road",1,2007
"roll",1,2007
"rough",1,2007
"sanitary",1,2007
"section",1,2007
"semi",1,2007
"shape",1,2007
"shapes",1,2007
"shipments",1,2007
"silk",1,2007
"silver",1,2007
"similar",1,2007
"simply",1,2007
"size",1,2007
"skins",1,2007
"specialized",1,2007
"specified",1,2007
"stationery",1,2007
"stone",1,2007
"stones",1,2007
"strip",1,2007
"substitutes",1,2007
"sugar",1,2007
"suitable",1,2007
"switching",1,2007
"tea",1,2007
"telecommunications",1,2007
"than",1,2007
"tin",1,2007
"to",1,2007
"toys",1,2007
"transport",1,2007
"tv",1,2007
"type",1,2007
"up",1,2007
"use",1,2007
"value",1,2007
"valued",1,2007
"veterinary",1,2007
"wares",1,2007
"watches",1,2007
"water",1,2007
"whether",1,2007
"wool",1,2007
"work",1,2007
"worked",1,2007
"works",1,2007
"yarn",1,2007
"zinc",1,2007
"access",1,2008
"agricultural",1,2008
"air",1,2008
"aircraft",1,2008
"all",1,2008
"arms",1,2008
"article",1,2008
"bars",1,2008
"board",1,2008
"briquettes",1,2008
"but",1,2008
"cases",1,2008
"checking",1,2008
"chocolate",1,2008
"cinema",1,2008
"civil",1,2008
"classified",1,2008
"co",1,2008
"cocoa",1,2008
"coke",1,2008
"cold",1,2008
"containers",1,2008
"contractors",1,2008
"corn",1,2008
"cream",1,2008
"current",1,2008
"cut",1,2008
"cycles",1,2008
"data",1,2008
"diagnostic",1,2008
"distributing",1,2008
"domestic",1,2008
"dyeing",1,2008
"eggs",1,2008
"electricity",1,2008
"elements",1,2008
"engineering",1,2008
"essential",1,2008
"estimate",1,2008
"estimated",1,2008
"excluding",1,2008
"f",1,2008
"ferrous",1,2008
"fertilizer",1,2008
"fertilizers",1,2008
"floor",1,2008
"footwear",1,2008
"form",1,2008
"fuel",1,2008
"function",1,2008
"furniture",1,2008
"glass",1,2008
"group",1,2008
"hand",1,2008
"handling",1,2008
"hides",1,2008
"honey",1,2008
"import",1,2008
"ind",1,2008
"industrial",1,2008
"industries",1,2008
"internal",1,2008
"kind",1,2008
"lead",1,2008
"made",1,2008
"manufactured",1,2008
"manufacturing",1,2008
"measuring",1,2008
"medical",1,2008
"metalworking",1,2008
"minerals",1,2008
"motors",1,2008
"ore",1,2008
"particular",1,2008
"perfume",1,2008
"primary",1,2008
"process",1,2008
"processing",1,2008
"producer",1,2008
"protecting",1,2008
"purpose",1,2008
"related",1,2008
"road",1,2008
"rough",1,2008
"sanitary",1,2008
"section",1,2008
"semi",1,2008
"shape",1,2008
"shapes",1,2008
"shipments",1,2008
"ships",1,2008
"shortening",1,2008
"similar",1,2008
"simply",1,2008
"size",1,2008
"specialized",1,2008
"specified",1,2008
"spices",1,2008
"stone",1,2008
"storage",1,2008
"substitutes",1,2008
"sugar",1,2008
"suitable",1,2008
"switching",1,2008
"tanning",1,2008
"tea",1,2008
"telecommunications",1,2008
"television",1,2008
"than",1,2008
"to",1,2008
"toys",1,2008
"transport",1,2008
"type",1,2008
"up",1,2008
"use",1,2008
"value",1,2008
"valued",1,2008
"watches",1,2008
"whether",1,2008
"work",1,2008
"worked",1,2008
"works",1,2008
"access",1,2009
"adp",1,2009
"agricultural",1,2009
"air",1,2009
"aircraft",1,2009
"all",1,2009
"angles",1,2009
"art",1,2009
"article",1,2009
"automatic",1,2009
"board",1,2009
"bovine",1,2009
"but",1,2009
"cases",1,2009
"cement",1,2009
"cereals",1,2009
"chilled",1,2009
"chips",1,2009
"civil",1,2009
"classified",1,2009
"co",1,2009
"cocoa",1,2009
"corn",1,2009
"current",1,2009
"cut",1,2009
"cycles",1,2009
"data",1,2009
"domestic",1,2009
"elements",1,2009
"essential",1,2009
"estimate",1,2009
"estimated",1,2009
"excl",1,2009
"excluding",1,2009
"f",1,2009
"footwear",1,2009
"form",1,2009
"fuel",1,2009
"function",1,2009
"gluten",1,2009
"group",1,2009
"hand",1,2009
"hides",1,2009
"import",1,2009
"inc",1,2009
"industrial",1,2009
"industries",1,2009
"internal",1,2009
"kind",1,2009
"lead",1,2009
"live",1,2009
"made",1,2009
"manufactured",1,2009
"manufacturing",1,2009
"measuring",1,2009
"particular",1,2009
"powder",1,2009
"primary",1,2009
"printed",1,2009
"process",1,2009
"processing",1,2009
"producer",1,2009
"protecting",1,2009
"purpose",1,2009
"refuse",1,2009
"related",1,2009
"road",1,2009
"sanitary",1,2009
"section",1,2009
"semi",1,2009
"shape",1,2009
"sheets",1,2009
"shipments",1,2009
"silver",1,2009
"similar",1,2009
"simply",1,2009
"size",1,2009
"skins",1,2009
"specified",1,2009
"stones",1,2009
"sugar",1,2009
"suitable",1,2009
"switching",1,2009
"tea",1,2009
"telecommunications",1,2009
"than",1,2009
"to",1,2009
"transport",1,2009
"type",1,2009
"up",1,2009
"use",1,2009
"value",1,2009
"valued",1,2009
"water",1,2009
"whether",1,2009
"work",1,2009
"worked",1,2009
"works",1,2009
"abrasives",1,2010
"access",1,2010
"agricultural",1,2010
"air",1,2010
"aircraft",1,2010
"alcoholic",1,2010
"all",1,2010
"analysing",1,2010
"arms",1,2010
"art",1,2010
"article",1,2010
"automatic",1,2010
"birds",1,2010
"board",1,2010
"boats",1,2010
"bovine",1,2010
"briquettes",1,2010
"but",1,2010
"butane",1,2010
"cases",1,2010
"cement",1,2010
"charcoal",1,2010
"chilled",1,2010
"civil",1,2010
"classified",1,2010
"clay",1,2010
"co",1,2010
"cocoa",1,2010
"coke",1,2010
"cold",1,2010
"combustion",1,2010
"containing",1,2010
"corn",1,2010
"crustaceans",1,2010
"current",1,2010
"cut",1,2010
"cycles",1,2010
"data",1,2010
"diagnostic",1,2010
"diamonds",1,2010
"domestic",1,2010
"electricity",1,2010
"elements",1,2010
"engineering",1,2010
"essential",1,2010
"estimate",1,2010
"estimated",1,2010
"excl",1,2010
"excluding",1,2010
"f",1,2010
"ferrous",1,2010
"fertilizer",1,2010
"fertilizers",1,2010
"floor",1,2010
"footwear",1,2010
"form",1,2010
"fuel",1,2010
"function",1,2010
"furniture",1,2010
"gaseous",1,2010
"gases",1,2010
"gravel",1,2010
"group",1,2010
"hand",1,2010
"handling",1,2010
"hides",1,2010
"import",1,2010
"inc",1,2010
"industrial",1,2010
"industries",1,2010
"internal",1,2010
"kind",1,2010
"lead",1,2010
"lignite",1,2010
"liquid",1,2010
"live",1,2010
"made",1,2010
"manufactured",1,2010
"manufacturing",1,2010
"measuring",1,2010
"metallic",1,2010
"minerals",1,2010
"molluscs",1,2010
"nitrogen",1,2010
"ore",1,2010
"particular",1,2010
"pearls",1,2010
"peat",1,2010
"pieces",1,2010
"plywood",1,2010
"primary",1,2010
"process",1,2010
"processing",1,2010
"producer",1,2010
"propane",1,2010
"protecting",1,2010
"purpose",1,2010
"related",1,2010
"road",1,2010
"rough",1,2010
"sand",1,2010
"sanitary",1,2010
"section",1,2010
"semi",1,2010
"shape",1,2010
"shipments",1,2010
"ships",1,2010
"silver",1,2010
"similar",1,2010
"simply",1,2010
"size",1,2010
"skins",1,2010
"specialized",1,2010
"specified",1,2010
"spices",1,2010
"stone",1,2010
"stones",1,2010
"storage",1,2010
"strip",1,2010
"substitutes",1,2010
"sugar",1,2010
"suitable",1,2010
"sulfur",1,2010
"switching",1,2010
"tea",1,2010
"telecommunications",1,2010
"than",1,2010
"tin",1,2010
"to",1,2010
"transport",1,2010
"type",1,2010
"up",1,2010
"uranium",1,2010
"use",1,2010
"value",1,2010
"valued",1,2010
"wastes",1,2010
"water",1,2010
"whether",1,2010
"work",1,2010
"worked",1,2010
"works",1,2010
"zinc",1,2010
"access",1,2011
"agricultural",1,2011
"air",1,2011
"alcoholic",1,2011
"all",1,2011
"allies",1,2011
"ammunition",1,2011
"analysing",1,2011
"antiques",1,2011
"arms",1,2011
"art",1,2011
"article",1,2011
"automatic",1,2011
"board",1,2011
"but",1,2011
"cases",1,2011
